publication_year	citation_doi_count	citations_count	citation_doi_percent
2001	6222	9891	0.6290567182286928
2002	6693	10553	0.6342272339619066
2003	6669	10557	0.6317135549872123
2004	6326	9749	0.6488870653400349
2005	7093	10576	0.6706694402420574
2006	7725	11170	0.6915846016114593
2007	9236	12805	0.7212807497071456
2008	8457	11668	0.7248028796708947
2009	9250	12438	0.7436886959318219
2010	8907	11751	0.7579780444217513
2011	10424	13247	0.7868951460708085
2012	11583	15071	0.76856213920775
2013	11901	15025	0.7920798668885192
2014	11888	14990	0.7930620413609073
2015	12145	15869	0.7653286281429201
2016	12560	16703	0.7519607256181524
2017	13257	17618	0.7524690657282325
2018	12524	17045	0.7347609269580522
2019	12908	17438	0.7402225025805712
2020	15823	21457	0.7374283450622174
