publication_year	publication_doi_count	publications_count	publication_doi_percent
2001	192	250	0.768
2002	201	261	0.7701149425287356
2003	212	258	0.8217054263565892
2004	221	252	0.876984126984127
2005	256	305	0.839344262295082
2006	315	354	0.8898305084745762
2007	310	339	0.9144542772861357
2008	325	364	0.8928571428571429
2009	301	364	0.8269230769230769
2010	289	311	0.9292604501607717
2011	349	385	0.9064935064935065
2012	369	394	0.9365482233502538
2013	351	391	0.8976982097186701
2014	387	405	0.9555555555555556
2015	391	432	0.9050925925925926
2016	366	400	0.915
2017	385	420	0.9166666666666666
2018	383	413	0.927360774818402
2019	416	455	0.9142857142857143
2020	464	514	0.9027237354085603
