publication_year	IARC	UNIGE
2001	0.6290567182286928	0.7227682227682227
2002	0.6342272339619066	0.7325846267945119
2003	0.6317135549872123	0.7390776699029126
2004	0.6488870653400349	0.7524070560123691
2005	0.6706694402420574	0.7768191268191268
2006	0.6915846016114593	0.7793777590918646
2007	0.7212807497071456	0.7967816783397069
2008	0.7248028796708947	0.7979339159766943
2009	0.7436886959318219	0.8179451818651956
2010	0.7579780444217513	0.8130880589199142
2011	0.7868951460708085	0.8098651999745661
2012	0.76856213920775	0.8204685465107772
2013	0.7920798668885192	0.8228736993848393
2014	0.7930620413609073	0.8131531300343584
2015	0.7653286281429201	0.8144966593678065
2016	0.7519607256181524	0.8161836983446703
2017	0.7524690657282325	0.8068013264998493
2018	0.7347609269580522	0.7843202892243832
2019	0.7402225025805712	0.7837769909957164
2020	0.7374283450622174	0.7685651165562064
