publication_year	IARC	UNIGE
2001	0.768	0.7164048865619547
2002	0.7701149425287356	0.7053140096618358
2003	0.8217054263565892	0.7573822825219473
2004	0.876984126984127	0.7050408719346049
2005	0.839344262295082	0.7654698242933538
2006	0.8898305084745762	0.7908669755129054
2007	0.9144542772861357	0.7570215545395167
2008	0.8928571428571429	0.7795698924731183
2009	0.8269230769230769	0.8013659647125783
2010	0.9292604501607717	0.8324815445769449
2011	0.9064935064935065	0.7795753286147624
2012	0.9365482233502538	0.8012454592631033
2013	0.8976982097186701	0.7824143070044709
2014	0.9555555555555556	0.8297325102880658
2015	0.9050925925925926	0.8099255583126551
2016	0.915	0.8452088452088452
2017	0.9166666666666666	0.8505694760820045
2018	0.927360774818402	0.8663194444444444
2019	0.9142857142857143	0.8471337579617835
2020	0.9027237354085603	0.9028213166144201
