publication_year	citation_doi_count	citations_count	citation_doi_percent
2001	26475	36630	0.7227682227682227
2002	27658	37754	0.7325846267945119
2003	28623	38728	0.7390776699029126
2004	32118	42687	0.7524070560123691
2005	29892	38480	0.7768191268191268
2006	37075	47570	0.7793777590918646
2007	37087	46546	0.7967816783397069
2008	41633	52176	0.7979339159766943
2009	47449	58010	0.8179451818651956
2010	48134	59199	0.8130880589199142
2011	50947	62908	0.8098651999745661
2012	56070	68339	0.8204685465107772
2013	57653	70063	0.8228736993848393
2014	57037	70143	0.8131531300343584
2015	58028	71244	0.8144966593678065
2016	62274	76299	0.8161836983446703
2017	66904	82925	0.8068013264998493
2018	70290	89619	0.7843202892243832
2019	71725	91512	0.7837769909957164
2020	83842	109089	0.7685651165562064
