publication_year	publication_doi_count	publications_count	publication_doi_percent
2001	821	1146	0.7164048865619547
2002	876	1242	0.7053140096618358
2003	949	1253	0.7573822825219473
2004	1035	1468	0.7050408719346049
2005	1002	1309	0.7654698242933538
2006	1195	1511	0.7908669755129054
2007	1159	1531	0.7570215545395167
2008	1305	1674	0.7795698924731183
2009	1408	1757	0.8013659647125783
2010	1466	1761	0.8324815445769449
2011	1542	1978	0.7795753286147624
2012	1544	1927	0.8012454592631033
2013	1575	2013	0.7824143070044709
2014	1613	1944	0.8297325102880658
2015	1632	2015	0.8099255583126551
2016	1720	2035	0.8452088452088452
2017	1867	2195	0.8505694760820045
2018	1996	2304	0.8663194444444444
2019	2128	2512	0.8471337579617835
2020	2304	2552	0.9028213166144201
