publication_year	self_citation_doi_count	citations_after_2000_count	self_citation_doi_percent
2001	16	141	0.11347517730496454
2002	115	700	0.16428571428571428
2003	196	1647	0.11900425015179114
2004	240	2233	0.10747872816838334
2005	400	3334	0.11997600479904019
2006	503	4274	0.11768834815161441
2007	658	5710	0.11523642732049037
2008	583	5753	0.10133843212237094
2009	743	6545	0.11352177234530175
2010	677	6631	0.10209621474890665
2011	886	8335	0.10629874025194962
2012	974	9374	0.10390441647109025
2013	947	9897	0.09568556128119632
2014	924	10214	0.0904640689250049
2015	1014	10686	0.0948905109489051
2016	1063	11154	0.09530213376367222
2017	1050	11779	0.08914169284319552
2018	1071	11339	0.0944527736131934
2019	995	11784	0.08443652410047522
2020	1213	14658	0.0827534452176286
