publication_year	publication_self_cited_count	publications_with_doi_count	publication_self_cited_percent
2001	131	192	0.6822916666666666
2002	150	201	0.746268656716418
2003	161	212	0.7594339622641509
2004	157	221	0.7104072398190046
2005	177	256	0.69140625
2006	215	315	0.6825396825396826
2007	223	310	0.7193548387096774
2008	207	325	0.6369230769230769
2009	203	301	0.6744186046511628
2010	192	289	0.6643598615916955
2011	204	349	0.5845272206303725
2012	229	369	0.6205962059620597
2013	200	351	0.5698005698005698
2014	193	387	0.49870801033591733
2015	210	391	0.5370843989769821
2016	194	366	0.5300546448087432
2017	153	385	0.3974025974025974
2018	147	383	0.3838120104438642
2019	113	416	0.27163461538461536
2020	57	464	0.12284482758620689
