publication_year	IARC	UNIGE
2001	0.6822916666666666	0.5943970767356882
2002	0.746268656716418	0.5993150684931506
2003	0.7594339622641509	0.5816649104320337
2004	0.7104072398190046	0.6028985507246377
2005	0.69140625	0.564870259481038
2006	0.6825396825396826	0.5347280334728034
2007	0.7193548387096774	0.5306298533218292
2008	0.6369230769230769	0.5432950191570881
2009	0.6744186046511628	0.5248579545454546
2010	0.6643598615916955	0.5040927694406548
2011	0.5845272206303725	0.49351491569390404
2012	0.6205962059620597	0.4721502590673575
2013	0.5698005698005698	0.4723809523809524
2014	0.49870801033591733	0.4556726596404216
2015	0.5370843989769821	0.43137254901960786
2016	0.5300546448087432	0.40174418604651163
2017	0.3974025974025974	0.3294054633101232
2018	0.3838120104438642	0.2695390781563126
2019	0.27163461538461536	0.20206766917293234
2020	0.12284482758620689	0.08550347222222222
