publication_year	publication_self_cited_count	publications_with_doi_count	publication_self_cited_percent
2001	488	821	0.5943970767356882
2002	525	876	0.5993150684931506
2003	552	949	0.5816649104320337
2004	624	1035	0.6028985507246377
2005	566	1002	0.564870259481038
2006	639	1195	0.5347280334728034
2007	615	1159	0.5306298533218292
2008	709	1305	0.5432950191570881
2009	739	1408	0.5248579545454546
2010	739	1466	0.5040927694406548
2011	761	1542	0.49351491569390404
2012	729	1544	0.4721502590673575
2013	744	1575	0.4723809523809524
2014	735	1613	0.4556726596404216
2015	704	1632	0.43137254901960786
2016	691	1720	0.40174418604651163
2017	615	1867	0.3294054633101232
2018	538	1996	0.2695390781563126
2019	430	2128	0.20206766917293234
2020	197	2304	0.08550347222222222
