	publication_year	citation_is_oa_count	citations_with_doi	citation_is_oa_percent
0	2001	2083	6222	0.33477981356477016
1	2002	2189	6693	0.3270581204243239
2	2003	2364	6669	0.35447593342330186
3	2004	2460	6326	0.38887132469174834
4	2005	2880	7093	0.4060341181446497
5	2006	3211	7725	0.41566343042071197
6	2007	3924	9236	0.42485924642702466
7	2008	3668	8457	0.43372354262740925
8	2009	4241	9250	0.4584864864864865
9	2010	4367	8907	0.49028853710564724
10	2011	5355	10424	0.51371834228703
11	2012	5852	11583	0.5052231718898386
12	2013	6544	11901	0.5498697588437946
13	2014	6749	11888	0.5677153432032301
14	2015	6769	12145	0.5573487031700288
15	2016	7377	12560	0.5873407643312102
16	2017	7969	13257	0.6011163913404239
17	2018	7580	12524	0.6052379431491536
18	2019	8194	12908	0.634800123954137
19	2020	10193	15823	0.6441888390317891
