publication_year	IARC	UNIGE
2001	0.33477981356477016	0.3702360717658168
2002	0.3270581204243239	0.3736351146142165
2003	0.35447593342330186	0.37627083114977466
2004	0.38887132469174834	0.3821533096705897
2005	0.4060341181446497	0.38093804362371203
2006	0.41566343042071197	0.38273769386378964
2007	0.42485924642702466	0.3945317766333217
2008	0.43372354262740925	0.39514327576681957
2009	0.4584864864864865	0.4291765896014668
2010	0.49028853710564724	0.42865749781858975
2011	0.51371834228703	0.43651245411898637
2012	0.5052231718898386	0.4517032281077225
2013	0.5498697588437946	0.4414861325516452
2014	0.5677153432032301	0.46096393569086735
2015	0.5573487031700288	0.47809678086441026
2016	0.5873407643312102	0.5005459742428622
2017	0.6011163913404239	0.4945294750687552
2018	0.6052379431491536	0.513202447005264
2019	0.634800123954137	0.5196375043569188
2020	0.6441888390317891	0.5453233462942201
