publication_year	IARC	UNIGE
2001	0.4722186412272786	0.39460870118710417
2002	0.5151821862348178	0.3749467923380967
2003	0.4251968503937008	0.42163145375682104
2004	0.49461301671064206	0.4853951890034364
2005	0.5357106676121973	0.46149598254963137
2006	0.47172059767164726	0.45338730011279943
2007	0.5945496316248119	0.4806455963673965
2008	0.560222810702219	0.45642063905705005
2009	0.5440423352680096	0.5325922900722695
2010	0.6066934638238378	0.5210321052998119
2011	0.71382164127156	0.5587610330173259
2012	0.7351073076151635	0.594703146705321
2013	0.6847088845611443	0.5926879204445744
2014	0.7035948149138046	0.5672949951387982
2015	0.7745122878135292	0.6322449037816864
2016	0.7985690031530439	0.6665120409272243
2017	0.8591155492154066	0.6832032110428546
2018	0.789530361950344	0.7141262305619143
2019	0.8063437139561707	0.7261167588330739
2020	0.8538722168441433	0.7771824259789876
