	publication_year	publication_is_oa_count	publications_with_doi	publication_is_oa_percent
1	2001	12399	31421	0.39460870118710417
2	2002	12332	32890	0.3749467923380967
3	2003	15067	35735	0.42163145375682104
4	2004	19210	39576	0.4853951890034364
5	2005	16714	36217	0.46149598254963137
6	2006	20499	45213	0.45338730011279943
7	2007	21382	44486	0.4806455963673965
8	2008	22769	49886	0.45642063905705005
9	2009	29994	56317	0.5325922900722695
10	2010	29926	57436	0.5210321052998119
11	2011	34185	61180	0.5587610330173259
12	2012	39386	66228	0.594703146705321
13	2013	40528	68380	0.5926879204445744
14	2014	39094	68913	0.5672949951387982
15	2015	44321	70101	0.6322449037816864
16	2016	50289	75451	0.6665120409272243
17	2017	55830	81718	0.6832032110428546
18	2018	63328	88679	0.7141262305619143
19	2019	65784	90597	0.7261167588330739
20	2020	81371	104700	0.7771824259789876
